no_instances,time_spent
0,0
1,0.226521
2,0.230837
3,0.259257
4,0.261704
5,0.275561
6,0.313366
7,0.374296
8,0.398771
9,0.41831
10,0.443017
11,0.444214
12,0.457477
13,0.491957
14,0.510627
15,0.51868
16,0.522443
17,0.529604
18,0.533436
19,0.564038
20,0.567293
21,0.585516
22,0.597712
23,0.606348
24,0.63106
25,0.645668
26,0.674883
27,0.684329
28,0.686419
29,0.717557
30,0.73957
31,0.743628
32,0.744758
33,0.747474
34,0.762821
35,0.769177
36,0.773642
37,0.775776
38,0.789236
39,0.799568
40,0.801223
41,0.802758
42,0.807588
43,0.810278
44,0.833321
45,0.838144
46,0.841672
47,0.849221
48,0.853395
49,0.875232
50,0.893145
51,0.907472
52,0.914953
53,0.916117
54,0.916782
55,0.924264
56,0.92891
57,0.933769
58,0.989274
59,0.99314
60,1.048045
61,1.059027
62,1.06404
63,1.071578
64,1.105889
65,1.118157
66,1.118966
67,1.132377
68,1.144152
69,1.16053
70,1.165921
71,1.17975
72,1.253258
73,1.283396
74,1.309844
75,1.316888
76,1.32401
77,1.33683
78,1.339835
79,1.353198
80,1.383595
81,1.402945
82,1.41338
83,1.444695
84,1.449692
85,1.457312
86,1.466365
87,1.471274
88,1.474553
89,1.482467
90,1.581563
91,1.599797
92,1.630299
93,1.651978
94,1.703962
95,1.822085
96,1.850327
97,1.874627
98,2.036449
99,2.07828
100,2.628734
100,5.545149
