no_instances,no_subproblems_performed
0,0
1,38
2,94
3,100
4,102
5,114
6,119
7,133
8,138
9,139
10,142
11,146
12,148
13,148
14,152
15,155
16,156
17,156
18,157
19,160
20,160
21,165
22,169
23,169
24,170
25,171
26,173
27,174
28,175
29,175
30,177
31,177
32,178
33,179
34,185
35,187
36,188
37,190
38,192
39,193
40,193
41,194
42,194
43,197
44,204
45,205
46,207
47,209
48,209
49,210
50,211
51,223
52,224
53,232
54,233
55,233
56,234
57,237
58,238
59,243
60,243
61,246
62,248
63,249
64,250
65,250
66,256
67,263
68,274
69,279
70,281
71,285
72,286
73,298
74,309
75,316
76,321
77,330
78,343
79,343
80,344
81,355
82,366
83,383
84,391
85,404
86,410
87,411
88,421
89,422
90,433
91,443
92,459
93,466
94,473
95,498
96,506
97,525
98,652
99,662
100,765
100,765
