no_instances,no_benders_iteration
0,0
1,9
2,10
3,11
4,12
5,12
6,12
7,13
8,14
9,14
10,14
11,14
12,15
13,15
14,15
15,15
16,17
17,17
18,17
19,17
20,17
21,18
22,18
23,18
24,18
25,19
26,19
27,21
28,21
29,21
30,21
31,22
32,23
33,24
34,25
35,25
36,25
37,25
38,25
39,26
40,26
41,27
42,28
43,28
44,28
45,28
46,29
47,29
48,32
49,32
50,32
51,33
52,33
53,33
54,34
55,35
56,35
57,35
58,37
59,37
60,38
61,39
62,39
63,40
64,40
65,40
66,42
67,42
68,44
69,46
70,46
71,46
72,47
73,47
74,47
75,49
76,49
77,49
78,52
79,52
80,53
81,53
82,57
83,57
84,58
85,63
86,66
87,70
88,71
89,72
90,74
91,96
92,100
93,101
94,111
95,116
96,122
97,147
98,166
99,177
100,553
100,553
