no_instances,no_benders_iteration
0,0
1,3
2,5
3,5
4,6
5,6
6,6
7,7
8,7
9,7
10,7
11,8
12,8
13,8
14,8
15,8
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,11
43,11
44,11
45,11
46,11
47,11
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,14
69,14
70,15
71,15
72,15
73,15
74,15
75,15
76,16
77,16
78,17
79,17
80,17
81,18
82,18
83,19
84,19
85,21
86,21
87,21
88,22
89,22
90,22
91,23
92,24
93,25
94,26
95,27
96,27
97,30
98,32
99,39
100,42
100,42
