no_instances,no_benders_iteration
0,0
1,10
2,12
3,12
4,13
5,13
6,14
7,15
8,16
9,17
10,17
11,17
12,17
13,18
14,19
15,19
16,19
17,20
18,20
19,21
20,21
21,21
22,21
23,22
24,22
25,22
26,22
27,22
28,23
29,23
30,23
31,24
32,25
33,25
34,26
35,26
36,26
37,26
38,27
39,27
40,28
41,28
42,28
43,29
44,29
45,30
46,30
47,31
48,32
49,32
50,33
51,33
52,33
53,33
54,35
55,36
56,37
57,37
58,38
59,39
60,39
61,40
62,41
63,41
64,42
65,42
66,42
67,44
68,47
69,47
70,50
71,50
72,50
73,50
74,52
75,52
76,52
77,56
78,57
79,57
80,58
81,58
82,60
83,67
84,69
85,69
86,74
87,74
88,77
89,80
90,80
91,82
92,97
93,116
94,116
95,118
96,151
97,155
98,164
99,196
100,418
100,553
