no_instances,no_subproblems_performed
0,0
1,33
2,43
3,44
4,49
5,52
6,53
7,54
8,56
9,56
10,58
11,58
12,59
13,60
14,61
15,63
16,72
17,74
18,74
19,77
20,77
21,78
22,78
23,81
24,82
25,83
26,86
27,95
28,95
29,97
30,99
31,100
32,109
33,114
34,116
35,124
36,149
37,160
38,163
39,166
40,172
41,173
42,186
43,193
44,194
45,203
46,204
47,214
48,228
49,245
50,253
51,258
52,258
53,259
54,271
55,277
56,279
57,287
58,293
59,334
60,346
61,347
62,350
63,357
64,362
65,377
66,380
67,382
68,402
69,497
70,531
71,571
72,577
73,583
74,587
75,590
76,592
77,594
78,657
79,666
80,685
81,821
82,866
83,899
84,901
85,972
86,990
87,992
88,1110
89,1135
90,1135
91,1193
92,1302
93,1330
94,1401
95,1449
96,1662
97,1711
98,3619
99,4814
100,9286
100,10117
