no_instances,no_subproblems_performed
0,0
1,33
2,43
3,44
4,49
5,52
6,53
7,54
8,56
9,56
10,58
11,58
12,59
13,60
14,61
15,63
16,72
17,74
18,74
19,77
20,77
21,78
22,78
23,81
24,82
25,83
26,86
27,95
28,95
29,97
30,99
31,100
32,109
33,114
34,116
35,124
36,149
37,160
38,163
39,167
40,172
41,173
42,193
43,194
44,203
45,204
46,214
47,219
48,228
49,235
50,253
51,271
52,279
53,279
54,287
55,293
56,294
57,334
58,346
59,347
60,350
61,357
62,360
63,361
64,362
65,380
66,382
67,402
68,432
69,443
70,484
71,505
72,507
73,524
74,567
75,571
76,578
77,581
78,594
79,616
80,685
81,699
82,791
83,830
84,941
85,943
86,957
87,980
88,981
89,997
90,1018
91,1111
92,1273
93,1394
94,1651
95,1698
96,1950
97,2148
98,3615
99,4312
100,9286
100,10117
