no_instances,time_spent
0,0
1,0.055374
2,0.058478
3,0.059112
4,0.059533
5,0.062665
6,0.062977
7,0.063041
8,0.063181
9,0.063363
10,0.064458
11,0.064757
12,0.064786
13,0.06648
14,0.067315
15,0.068503
16,0.069079
17,0.19523
18,0.203263
19,0.208179
20,0.211839
21,0.213383
22,0.215648
23,0.217438
24,0.223104
25,0.223305
26,0.22475
27,0.226698
28,0.229455
29,0.229594
30,0.235536
31,0.235711
32,0.23606
33,0.237454
34,0.238083
35,0.23832
36,0.241086
37,0.243547
38,0.243829
39,0.244179
40,0.249536
41,0.256456
42,0.267315
43,0.275607
44,0.277304
45,0.297392
46,0.301078
47,0.308249
48,0.316664
49,0.329328
50,0.333605
51,0.335146
52,0.339496
53,0.357905
54,0.369781
55,0.372038
56,0.384534
57,0.392479
58,0.39331
59,0.394596
60,0.404608
61,0.40838
62,0.411549
63,0.414086
64,0.421901
65,0.427163
66,0.439298
67,0.44639
68,0.461433
69,0.465884
70,0.468106
71,0.469128
72,0.473006
73,0.480492
74,0.496285
75,0.501273
76,0.503744
77,0.511854
78,0.536893
79,0.546074
80,0.562146
81,0.570823
82,0.584708
83,0.592873
84,0.598699
85,0.61442
86,0.650236
87,0.653865
88,0.659859
89,0.67824
90,0.706784
91,0.717257
92,0.719799
93,0.739756
94,0.786636
95,0.846063
96,0.854557
97,0.9919
98,1.08785
99,1.110248
100,1.195317
100,2.077099
