no_instances,time_spent
0,0
1,0.427649
2,0.435351
3,0.444896
4,0.466107
5,0.519032
6,0.524874
7,0.68236
8,0.730097
9,0.789544
10,0.827163
11,0.926556
12,0.95415
13,0.980157
14,1.028344
15,1.0311
16,1.032499
17,1.040857
18,1.04304
19,1.044204
20,1.102303
21,1.124406
22,1.20938
23,1.219863
24,1.2745
25,1.275662
26,1.291594
27,1.295763
28,1.314055
29,1.320028
30,1.33154
31,1.34505
32,1.348286
33,1.353229
34,1.392094
35,1.453313
36,1.453945
37,1.482491
38,1.492426
39,1.496752
40,1.550295
41,1.565276
42,1.590541
43,1.596692
44,1.605569
45,1.607835
46,1.612593
47,1.614638
48,1.622355
49,1.638807
50,1.639845
51,1.643348
52,1.688257
53,1.690838
54,1.700092
55,1.700944
56,1.71386
57,1.71879
58,1.739456
59,1.757399
60,1.825596
61,1.836759
62,1.916951
63,1.922164
64,1.937824
65,1.940097
66,1.971261
67,1.995952
68,2.00201
69,2.018413
70,2.037457
71,2.054543
72,2.103505
73,2.143084
74,2.152906
75,2.172954
76,2.189873
77,2.306168
78,2.342397
79,2.414457
80,2.41756
81,2.428561
82,2.461904
83,2.517054
84,2.522553
85,2.552398
86,2.612986
87,2.630224
88,2.730929
89,2.738225
90,2.757604
91,2.789505
92,2.790192
93,2.888328
94,3.087572
95,3.114492
96,3.680267
97,3.856442
98,3.863552
99,3.978612
100,4.62894
100,5.545149
