no_instances,time_spent
0,0
1,0.443136
2,0.468326
3,0.483924
4,0.504156
5,0.51101
6,0.638807
7,0.746093
8,0.75379
9,0.754202
10,0.779706
11,0.790523
12,0.829086
13,0.915211
14,0.922905
15,0.937606
16,0.973093
17,1.003858
18,1.016196
19,1.03747
20,1.038288
21,1.062183
22,1.093896
23,1.115837
24,1.149715
25,1.159135
26,1.159567
27,1.209155
28,1.240792
29,1.246587
30,1.256218
31,1.265781
32,1.271923
33,1.277464
34,1.290882
35,1.311357
36,1.317898
37,1.324995
38,1.327849
39,1.368465
40,1.407895
41,1.410963
42,1.417335
43,1.449618
44,1.451767
45,1.512734
46,1.515789
47,1.520531
48,1.52258
49,1.524891
50,1.533163
51,1.536529
52,1.559854
53,1.564977
54,1.574303
55,1.580452
56,1.580542
57,1.583759
58,1.586352
59,1.609711
60,1.66297
61,1.700917
62,1.764688
63,1.793626
64,1.814916
65,1.833578
66,1.851944
67,1.860707
68,1.868041
69,1.895643
70,1.908104
71,1.974099
72,2.015466
73,2.065621
74,2.09343
75,2.095309
76,2.096788
77,2.131972
78,2.163116
79,2.259884
80,2.273412
81,2.278377
82,2.279053
83,2.286693
84,2.396106
85,2.446109
86,2.473198
87,2.484957
88,2.517911
89,2.547939
90,2.646105
91,2.665929
92,2.705154
93,2.99692
94,3.087342
95,3.096222
96,3.26348
97,3.363521
98,3.439164
99,3.532689
100,4.189005
100,5.545149
