no_instances,time_spent
0,0
1,0.436351
2,0.449423
3,0.453002
4,0.477356
5,0.482304
6,0.707833
7,0.717653
8,0.718641
9,0.73827
10,0.819551
11,0.841289
12,0.910264
13,0.961031
14,0.963775
15,0.968911
16,0.977878
17,1.006398
18,1.013306
19,1.017285
20,1.021143
21,1.046155
22,1.055825
23,1.18549
24,1.240766
25,1.279568
26,1.298479
27,1.304626
28,1.314516
29,1.327506
30,1.347538
31,1.408506
32,1.428244
33,1.461024
34,1.462375
35,1.483124
36,1.499894
37,1.507049
38,1.509948
39,1.513096
40,1.533983
41,1.541119
42,1.542743
43,1.546511
44,1.568907
45,1.577676
46,1.585882
47,1.588734
48,1.612914
49,1.631905
50,1.649442
51,1.671859
52,1.674932
53,1.697828
54,1.740586
55,1.766971
56,1.837729
57,1.847117
58,1.855588
59,1.877862
60,1.884112
61,1.885685
62,1.900513
63,1.903674
64,1.904282
65,1.91518
66,1.947778
67,1.982891
68,2.014274
69,2.080134
70,2.100363
71,2.149763
72,2.194183
73,2.207375
74,2.215755
75,2.217359
76,2.246924
77,2.283825
78,2.307926
79,2.317752
80,2.34754
81,2.37336
82,2.40969
83,2.432577
84,2.462277
85,2.537562
86,2.627821
87,2.659248
88,2.684557
89,2.694558
90,2.715076
91,2.729099
92,2.76602
93,2.861695
94,3.049505
95,3.24835
96,3.396201
97,3.460253
98,3.655072
99,4.108594
100,5.545149
100,5.545149
