no_instances,no_subproblems_performed
0,0
1,181
2,207
3,225
4,246
5,260
6,262
7,271
8,272
9,293
10,295
11,297
12,303
13,306
14,320
15,321
16,350
17,366
18,368
19,368
20,369
21,374
22,381
23,382
24,389
25,390
26,394
27,426
28,445
29,458
30,462
31,472
32,489
33,500
34,501
35,515
36,517
37,520
38,523
39,548
40,549
41,576
42,582
43,593
44,593
45,596
46,598
47,630
48,639
49,655
50,656
51,681
52,697
53,699
54,706
55,727
56,735
57,751
58,774
59,777
60,785
61,786
62,819
63,838
64,858
65,881
66,921
67,928
68,948
69,955
70,962
71,973
72,979
73,983
74,984
75,985
76,986
77,1050
78,1093
79,1115
80,1126
81,1142
82,1173
83,1186
84,1218
85,1322
86,1351
87,1455
88,1469
89,1499
90,1580
91,2022
92,2083
93,2131
94,2279
95,2432
96,2434
97,3206
98,3415
99,3906
100,10117
100,10117
