no_instances,no_benders_iteration
0,0
1,11
2,11
3,13
4,14
5,15
6,15
7,15
8,16
9,16
10,17
11,17
12,17
13,18
14,18
15,18
16,19
17,19
18,19
19,20
20,20
21,21
22,21
23,22
24,22
25,22
26,23
27,23
28,23
29,23
30,24
31,24
32,24
33,26
34,26
35,26
36,27
37,27
38,27
39,27
40,28
41,29
42,31
43,31
44,31
45,31
46,32
47,32
48,32
49,33
50,33
51,33
52,34
53,35
54,35
55,36
56,36
57,36
58,37
59,37
60,37
61,38
62,39
63,39
64,42
65,42
66,42
67,43
68,44
69,46
70,49
71,49
72,50
73,51
74,52
75,53
76,55
77,55
78,56
79,58
80,58
81,60
82,60
83,63
84,64
85,67
86,72
87,72
88,75
89,76
90,77
91,98
92,100
93,111
94,115
95,115
96,125
97,142
98,181
99,190
100,553
100,553
