no_instances,no_subproblems_performed
0,0
1,16
2,17
3,17
4,17
5,17
6,17
7,29
8,32
9,32
10,32
11,45
12,46
13,46
14,47
15,47
16,47
17,47
18,47
19,47
20,47
21,48
22,60
23,60
24,60
25,62
26,62
27,63
28,63
29,63
30,64
31,64
32,65
33,74
34,74
35,74
36,74
37,74
38,76
39,76
40,77
41,77
42,77
43,77
44,77
45,78
46,78
47,78
48,78
49,78
50,78
51,79
52,79
53,79
54,81
55,87
56,88
57,89
58,89
59,90
60,91
61,91
62,91
63,92
64,92
65,93
66,94
67,94
68,94
69,95
70,95
71,101
72,106
73,108
74,108
75,110
76,112
77,116
78,121
79,122
80,123
81,124
82,124
83,124
84,124
85,132
86,133
87,135
88,136
89,137
90,142
91,148
92,150
93,153
94,154
95,159
96,176
97,182
98,203
99,224
100,230
100,272
