no_instances,no_subproblems_performed
0,0
1,38
2,97
3,100
4,101
5,113
6,114
7,115
8,115
9,119
10,127
11,137
12,138
13,140
14,141
15,147
16,148
17,149
18,153
19,155
20,158
21,159
22,159
23,161
24,167
25,171
26,172
27,176
28,177
29,179
30,180
31,182
32,184
33,190
34,193
35,193
36,195
37,195
38,196
39,207
40,211
41,212
42,212
43,213
44,214
45,214
46,214
47,214
48,225
49,226
50,233
51,237
52,237
53,241
54,243
55,252
56,254
57,258
58,259
59,267
60,268
61,272
62,274
63,278
64,291
65,295
66,296
67,298
68,299
69,308
70,311
71,314
72,316
73,317
74,319
75,321
76,323
77,330
78,342
79,349
80,360
81,366
82,381
83,382
84,386
85,389
86,389
87,391
88,395
89,396
90,412
91,412
92,429
93,444
94,445
95,460
96,492
97,498
98,576
99,656
100,732
100,765
