no_instances,time_spent
0,0
1,0.832186
2,1.895395
3,2.053031
4,2.303289
5,2.312129
6,2.349737
7,2.389531
8,2.507958
9,2.556949
10,2.561982
11,2.826144
12,2.826676
13,2.989864
14,3.130934
15,3.15966
16,3.276968
17,3.29754
18,3.336198
19,3.444158
20,3.445951
21,3.465215
22,3.501882
23,3.520438
24,3.59039
25,3.594534
26,3.670087
27,3.682074
28,3.691879
29,3.698538
30,3.736635
31,3.765518
32,3.79156
33,3.84023
34,3.847666
35,3.962171
36,4.002804
37,4.012818
38,4.029183
39,4.072009
40,4.169574
41,4.176187
42,4.286154
43,4.292454
44,4.313493
45,4.468304
46,4.484436
47,4.623765
48,4.665884
49,4.743404
50,4.8164
51,4.919722
52,4.970691
53,5.169533
54,5.192197
55,5.2427
56,5.414207
57,5.48258
58,5.535405
59,5.621937
60,5.704774
61,5.772208
62,5.845939
63,5.899075
64,5.93858
65,6.08551
66,6.140919
67,6.198054
68,6.268759
69,6.332211
70,6.362146
71,6.566527
72,6.648532
73,6.66008
74,6.73928
75,6.791246
76,6.91663
77,7.076077
78,7.097429
79,7.144513
80,7.322614
81,7.43135
82,7.772087
83,7.833195
84,7.976948
85,7.988414
86,8.14788
87,8.150083
88,8.16765
89,8.249983
90,8.465967
91,8.513173
92,8.842602
93,9.04859
94,9.522729
95,9.768923
96,9.963503
97,10.0264
98,12.503353
99,13.170983
100,15.800283
100,15.903936
