no_instances,no_subproblems_performed
0,0
1,38
2,93
3,94
4,99
5,100
6,100
7,100
8,114
9,115
10,115
11,119
12,130
13,131
14,136
15,138
16,139
17,141
18,146
19,148
20,153
21,153
22,155
23,156
24,156
25,157
26,161
27,170
28,170
29,171
30,173
31,173
32,174
33,174
34,174
35,176
36,176
37,176
38,177
39,178
40,182
41,187
42,187
43,190
44,194
45,194
46,204
47,204
48,205
49,207
50,208
51,209
52,210
53,211
54,216
55,217
56,217
57,221
58,223
59,225
60,225
61,225
62,226
63,228
64,231
65,232
66,233
67,234
68,235
69,238
70,243
71,248
72,256
73,260
74,268
75,299
76,308
77,317
78,334
79,337
80,343
81,344
82,348
83,350
84,351
85,352
86,366
87,372
88,377
89,378
90,392
91,394
92,403
93,412
94,426
95,426
96,459
97,460
98,610
99,662
100,765
100,765
