no_instances,time_spent
0,0
1,0.485546
2,0.726834
3,0.91097
4,1.108113
5,1.127182
6,1.127457
7,1.221946
8,1.28586
9,1.2976
10,1.313784
11,1.377099
12,1.380995
13,1.402101
14,1.410954
15,1.457228
16,1.490605
17,1.493745
18,1.555343
19,1.557353
20,1.562667
21,1.569606
22,1.592182
23,1.606381
24,1.619147
25,1.667297
26,1.671171
27,1.678916
28,1.690192
29,1.691639
30,1.708298
31,1.712183
32,1.731368
33,1.776288
34,1.806502
35,1.808652
36,1.813363
37,1.833625
38,1.840033
39,1.965009
40,1.982109
41,2.014117
42,2.014169
43,2.044892
44,2.058373
45,2.104113
46,2.117992
47,2.148184
48,2.16919
49,2.186944
50,2.188549
51,2.297981
52,2.326987
53,2.418607
54,2.420794
55,2.460356
56,2.482564
57,2.557926
58,2.612597
59,2.626344
60,2.64231
61,2.663147
62,2.696344
63,2.723672
64,2.746702
65,2.829073
66,2.943099
67,2.991133
68,3.088707
69,3.131255
70,3.132223
71,3.245309
72,3.252088
73,3.280453
74,3.336475
75,3.343912
76,3.360847
77,3.393954
78,3.429161
79,3.489482
80,3.533262
81,3.597919
82,3.842203
83,3.900706
84,4.065331
85,4.106687
86,4.109703
87,4.125925
88,4.218905
89,4.823732
90,5.277668
91,5.292008
92,5.414927
93,5.592534
94,5.606197
95,5.863788
96,7.04269
97,7.33592
98,8.476952
99,9.078082
100,15.104946
100,15.903936
