no_instances,time_spent
0,0
1,0.646831
2,0.764314
3,0.95442
4,1.101873
5,1.126042
6,1.137868
7,1.138725
8,1.14302
9,1.184209
10,1.187947
11,1.195897
12,1.252057
13,1.285142
14,1.294555
15,1.380752
16,1.40469
17,1.440041
18,1.50304
19,1.507784
20,1.533577
21,1.563541
22,1.616021
23,1.619261
24,1.636648
25,1.663589
26,1.692506
27,1.741349
28,1.742451
29,1.765078
30,1.800189
31,1.8106
32,1.852407
33,1.857693
34,1.858082
35,1.874293
36,1.900645
37,1.954974
38,2.029365
39,2.073152
40,2.128123
41,2.13745
42,2.164344
43,2.199749
44,2.200645
45,2.20309
46,2.21443
47,2.215503
48,2.225651
49,2.241173
50,2.260817
51,2.272081
52,2.286627
53,2.315202
54,2.325164
55,2.333354
56,2.362493
57,2.366156
58,2.404785
59,2.428974
60,2.686109
61,2.70965
62,2.724199
63,2.730439
64,2.734982
65,2.789955
66,2.808545
67,2.879887
68,2.909815
69,3.024664
70,3.034746
71,3.218259
72,3.237654
73,3.300016
74,3.301247
75,3.360491
76,3.451311
77,3.5337
78,3.537237
79,3.554407
80,3.711829
81,3.716695
82,3.719433
83,3.825067
84,3.851855
85,4.005343
86,4.230217
87,4.467147
88,4.660711
89,4.808475
90,5.052729
91,5.204874
92,5.37896
93,5.459891
94,5.753286
95,6.317751
96,7.258398
97,7.441243
98,7.979532
99,10.460489
100,13.918553
100,15.903936
